FirstName,LastName,DisplayName,StreetAddress,City,State,PostalCode,Country,PhoneNumber,Department,Title,Office,PasswordNeverExpires,PreferredLanguage,UsageLocation,alias,EmailAddress,groupMembership,objType,groupType
Lee,Gu,Lee Gu,"10801 Mastin Blvd., Suite 620",Overland Park,KS,66210,United States,+1 913 555 0101,Research & Development,CVP Research & Development,23/3101,TRUE,en-US,US,LeeG,NotSet,Engineering;Research and Development;Big Wigs;Competitor Analysis;Contoso News;Executive Corner;HR Compensation Taskforce;New Products;Support Task Force;Senior Leadership Team;IT Support;All Employees,user,NotSet
Alex,Wilber,Alex Wilber,"9256 Towne Center Dr., Suite 400",San Diego,CA,92121,United States,+1 858 555 0110,Sales & Marketing,Marketing Assistant,131/1104,TRUE,en-US,US,AlexW,NotSet,Mobile Device Marketing;Product Launch;Online Marketing;Engineering;Research and Development;Software Development;Core Team;Contoso News;Executive Corner;IT - Professional Development;Industry Trends;Marketing - Professional Development;Marketing Campaigns;Marketing Team;Operations and Facilities;Project Falcon;Northwind Traders;Tailspin Toys;Sales Team;All Employees,user,NotSet
,,Conf Room Baker,,,,,,,,,,FALSE,,,Baker,NotSet,,user,NotSet
Henrietta,Mueller,Henrietta Mueller,"6750 North Andrews Ave., Suite 400",Fort Lauderdale,FL,33309,United States,+1 954 555 0118,Sales & Marketing,Marketing Assistant,18/1106,TRUE,en-US,US,HenriettaM,NotSet,Product Launch;Online Marketing;Engineering;Quality Assurance;User Experience;Contoso News;CSAT Taskforce;Executive Corner;IT - Professional Development;Industry Trends;Marketing - Professional Development;Marketing Campaigns;Marketing Team;Support Task Force;Tailspin Toys;Sales Team;All Employees;Executives,user,NotSet
Pradeep,Gupta,Pradeep Gupta,"Smart Village, Kilo 28, Cairo/Alex Desert Road",Cairo,,,Egypt,+20 255501070,Finance,Accountant II,98/2202,TRUE,en-US,US,PradeepG,NotSet,Online Marketing;Software Development;Quality Assurance;Core Team;User Experience;Contoso News;Executive Corner;Support Task Force;Finance and Accounting;All Employees,user,NotSet
Lidia,Holloway,Lidia Holloway,"7633 E. 63rd Place, Suite 300",Tulsa,OK,74133,United States,+1 918 555 0107,Sales & Marketing,Product Manager,20/2107,TRUE,en-US,US,LidiaH,NotSet,Mobile Device Marketing;Product Launch;Engineering;Project Management;Contoso News;Executive Corner;IT - Professional Development;Sales - Professional Development;Industry Trends;Marketing - Professional Development;Marketing Campaigns;Marketing Team;OPS Property Management;Project Falcon;Northwind Traders;Tailspin Toys;Sales Team;All Employees,user,NotSet
Joni,Sherman,Joni Sherman,8055 Microsoft Way,Charlotte,NC,28273,United States,+1 980 555 0101,Legal,Paralegal,20/1109,TRUE,en-US,US,JoniS,NotSet,Online Marketing;Engineering;Software Development;Quality Assurance;Contoso News;CSAT Taskforce;Executive Corner;Finance and Accounting;Human Resources;Operations and Facilities;IT Support;Legal Team;Project Falcon;Northwind Traders;Tailspin Toys;All Employees;Executives,user,NotSet
Miriam,Graham,Miriam Graham,"9255 Towne Center Dr., Suite 400",San Diego,CA,92121,United States,+1 858 555 0109,Sales & Marketing,VP Marketing,131/2103,TRUE,en-US,US,MiriamG,NotSet,Mobile Device Marketing;Product Launch;Online Marketing;Engineering;Contoso News;Executive Corner;Sales - Professional Development;Industry Trends;Marketing - Professional Development;Marketing Campaigns;Marketing Team;Pipeline Management;Sales Leadership;All Employees,user,NotSet
,,Conf Room Crystal,,,,,,,,,,FALSE,,,Crystal,NotSet,,user,NotSet
Brian,Johnson,Brian Johnson (TAILSPIN),,,,,,,,,,FALSE,,,BrianJ,NotSet,All Employees,user,NotSet
Lynne,Robbins,Lynne Robbins,"7633 E. 63rd Place, Suite 300",Tulsa,OK,74133,United States,+1 918 555 0104,Sales & Marketing,Sales Executive,20/1104,TRUE,en-US,US,LynneR,NotSet,Engineering;Project Management;Contoso News;Executive Corner;IT - Professional Development;Sales - Professional Development;Industry Trends;Marketing - Professional Development;Marketing Campaigns;Marketing Team;New Products;Support Task Force;Project Falcon;Northwind Traders;Tailspin Toys;All Employees;Finance Team,user,NotSet
Ben,Walters,Ben Walters,"101 Wood Avenue South, Suite 900",Iselin,NJ,8830,United States,+1 732 555 0102,Sales & Marketing,VP Sales,19/3123,TRUE,en-US,US,BenW,NotSet,Product Launch;Engineering;Software Development;Competitor Analysis;Contoso News;Executive Corner;Sales - Professional Development;Industry Trends;Pipeline Management;Sales Leadership;All Employees,user,NotSet
,,Conf Room Adams,,,,,,,,,,FALSE,,,Adams,NotSet,,user,NotSet
Johanna,Lorenz,Johanna Lorenz,"9900 Corporate Campus Dr., Suite 3000",Louisville,KY,40223,United States,+1 502 555 0102,Engineering,CVP Engineering,23/2102,TRUE,en-US,US,JohannaL,NotSet,Online Marketing;Research and Development;Software Development;Quality Assurance;Core Team;User Experience;Big Wigs;Project Management;Contoso News;Executive Corner;IT - Professional Development;HR Compensation Taskforce;New Products;Senior Leadership Team;IT Support;All Employees,user,NotSet
,,Conf Room Rainier,,,,,,,,,,FALSE,,,Rainier,NotSet,,user,NotSet
Adele,Vance,Adele Vance,"205 108th Ave. NE, Suite 400",Bellevue,WA,98004,United States,+1 425 555 0109,Sales & Marketing,Product Marketing Manager,18/2111,TRUE,en-US,US,AdeleV,NotSet,Engineering;Contoso News;Executive Corner;IT - Professional Development;Sales - Professional Development;Industry Trends;Marketing - Professional Development;Marketing Campaigns;Marketing Team;Pipeline Management;All Employees,user,NotSet
Christie,Cline,Christie Cline,"9257 Towne Center Dr., Suite 400",San Diego,CA,92121,United States,+1 858 555 0111,Sales & Marketing,Sr. VP Sales & Marketing,131/2105,TRUE,en-US,US,ChristieC,NotSet,Engineering;Big Wigs;Competitor Analysis;Contoso News;Executive Corner;Sales - Professional Development;Industry Trends;Marketing Team;New Products;Pipeline Management;Sales Leadership;Product Marketing;Senior Leadership Team;IT Support;All Employees,user,NotSet
